[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/forms/__init__.py first seen with mtime 1579901557.7426589
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/utils/termcolors.py first seen with mtime 1579901557.7666614
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/core/servers/basehttp.py first seen with mtime 1579901557.7066553
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/posixpath.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/apps/registry.py first seen with mtime 1579901556.9865813
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/concurrent/futures/_base.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/queue.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/logging/__init__.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/views/decorators/cache.py first seen with mtime 1579901557.7706618
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/urls/base.py first seen with mtime 1579901557.762661
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/forms/forms.py first seen with mtime 1579901557.7466593
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/test/signals.py first seen with mtime 1579901557.762661
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/json/decoder.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/locale.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/http/request.py first seen with mtime 1579901557.7546601
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/utils/inspect.py first seen with mtime 1579901557.7666614
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/ipaddress.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/core/files/storage.py first seen with mtime 1579901557.6986544
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/ctypes/util.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/enum.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/email/generator.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/core/serializers/__init__.py first seen with mtime 1579901557.7026548
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/email/contentmanager.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/struct.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/xml/dom/__init__.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/contrib/admin/actions.py first seen with mtime 1579901557.1706002
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/core/checks/registry.py first seen with mtime 1579901557.694654
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/db/transaction.py first seen with mtime 1579901557.7066553
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/core/checks/security/base.py first seen with mtime 1579901557.694654
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/views/debug.py first seen with mtime 1579901557.7706618
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/core/mail/__init__.py first seen with mtime 1579901557.6986544
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/lib-dynload/termios.cpython-36m-x86_64-linux-gnu.so first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/db/models/sql/constants.py first seen with mtime 1579901557.7426589
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/core/checks/security/csrf.py first seen with mtime 1579901557.694654
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/tokenize.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/asgiref/local.py first seen with mtime 1579901558.3747237
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/contrib/staticfiles/handlers.py first seen with mtime 1579901557.6906536
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/concurrent/futures/process.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/test/html.py first seen with mtime 1579901557.762661
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/ast.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/asyncio/queues.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/urls/utils.py first seen with mtime 1579901557.762661
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/uuid.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/unittest/main.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/template/backends/django.py first seen with mtime 1579901557.7586606
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/asyncio/log.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/db/backends/ddl_references.py first seen with mtime 1579901557.7066553
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/utils/translation/trans_real.py first seen with mtime 1579901557.7706618
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/sqlparse/sql.py first seen with mtime 1575597290.3829722
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/mimetypes.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/numbers.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/core/checks/messages.py first seen with mtime 1579901557.694654
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/inspect.py first seen with mtime 1573123442.0
